bugID,opened_date,status,inheritance,overriding
386920,20120809075500,RESOLVED,NO,NO
386966,20120809164100,VERIFIED,NO,NO
387156,20120813182000,RESOLVED,NO,NO
387492,20120817114500,RESOLVED,NO,NO
387710,20120821112500,RESOLVED,NO,NO
387836,20120822172500,RESOLVED,NO,NO
388222,20120828091600,RESOLVED,NO,NO
388255,20120828132800,RESOLVED,NO,NO
388569,20120831134000,RESOLVED,NO,NO
388897,20120905212800,RESOLVED,NO,NO
388901,20120905232400,RESOLVED,NO,NO
388998,20120906162900,RESOLVED,NO,NO
389032,20120907060900,RESOLVED,NO,NO
389102,20120907190800,RESOLVED,NO,NO
389103,20120907220700,RESOLVED,NO,NO
389130,20120909185200,RESOLVED,NO,NO
389143,20120910050700,RESOLVED,NO,NO
389347,20120911180800,RESOLVED,NO,NO
389570,20120913223800,VERIFIED,NO,NO
389612,20120914102500,RESOLVED,NO,NO
389674,20120916054400,RESOLVED,NO,NO
389812,20120918083900,RESOLVED,NO,NO
389842,20120918162800,RESOLVED,NO,NO
389946,20120919160900,RESOLVED,NO,NO
389996,20120920070400,RESOLVED,NO,NO
390081,20120921051600,RESOLVED,NO,NO
390374,20120925140200,CLOSED,NO,NO
390738,20120928185000,RESOLVED,NO,NO
390767,20120930075000,RESOLVED,NO,NO
391068,20121003162100,RESOLVED,NO,NO
391121,20121004095300,RESOLVED,NO,NO
391137,20121004114800,RESOLVED,NO,NO
391260,20121005143000,RESOLVED,NO,NO
391558,20121010102400,RESOLVED,NO,NO
391723,20121011171800,RESOLVED,NO,NO
391753,20121012060000,RESOLVED,NO,NO
391841,20121012183000,RESOLVED,NO,NO
391850,20121013073300,RESOLVED,NO,NO
391953,20121015122900,NEW,NO,NO
392100,20121016133300,RESOLVED,NO,NO
392346,20121018110700,RESOLVED,NO,NO
392678,20121023140500,RESOLVED,NO,NO
392679,20121023140600,RESOLVED,NO,NO
392682,20121023143800,RESOLVED,NO,NO
392688,20121023153100,RESOLVED,NO,NO
392923,20121026110400,RESOLVED,NO,NO
393141,20121030084900,RESOLVED,NO,NO
393482,20121103070200,RESOLVED,NO,NO
393488,20121103094900,RESOLVED,NO,NO
393493,20121103125700,RESOLVED,NO,NO
393617,20121105183200,CLOSED,NO,NO
393640,20121106051000,RESOLVED,NO,NO
393798,20121107131600,RESOLVED,NO,NO
393824,20121107174900,RESOLVED,NO,NO
393909,20121108130600,RESOLVED,NO,NO
394020,20121109191200,RESOLVED,NO,NO
394051,20121111101800,RESOLVED,NO,NO
394052,20121111102300,RESOLVED,NO,NO
394053,20121111102700,RESOLVED,NO,NO
394346,20121114183300,VERIFIED,NO,NO
394850,20121121190900,RESOLVED,NO,NO
394925,20121122132000,RESOLVED,NO,NO
395029,20121125143400,RESOLVED,NO,NO
395059,20121126070500,RESOLVED,NO,NO
395095,20121126124200,RESOLVED,NO,NO
395497,20121130123800,RESOLVED,NO,NO
